 ,  LST  , ly  ,    , ly  ,    , mph ,    , mph ,    , Deg ,    , Deg ,    , mph ,    , Deg ,    , mph ,    ,Deg F,    ,Deg F,    ,Deg F,    ,  %  ,    ,  %  ,    ,  %  ,    ,in.Hg,    , in  ,    , in  ,    , mm  ,    , mm  ,    , mm  ,    , in  ,    ,  Q  ,    , in  ,    ,Deg F,    ,Deg F,    ,Deg F,    ,Deg F,    ,Deg F,    ,Deg F,    ,Deg F,    ,Deg F,    ,Deg F,    ,volts,    ,volts,    ,volts,    ,Deg F,    ,     ,    
Date   , Time  , Solar ,    ,Std dev,    ,  Wind ,    , Wind  ,    , Wind  ,    ,Std Dev,    ,Mx Gust,    ,Std Dev,    ,  Min  ,    , Mx Air,    , Mn Air,    , Av Air,    ,Mx Rel ,    ,Mn Rel ,    ,  Rel  ,    , Barom ,    , Precip,    , Accum ,    ,Pcpn S1,    ,Pcpn S2,    ,Pcpn S3,    , Snow  ,    , SR50 Q,    , Snow  ,    ,  2m   ,    ,  2m   ,    ,  2m   ,    ,Max T  ,    ,Min T  ,    ,Min T  ,    ,10m-2m ,    ,10m-2m ,    ,10m-2m ,    ,Max Bat,    ,Min Bat,    ,Battery,    ,Dat Pan,    ,Station,    
YYYY/MM/DD, hh:mm ,  Rad. , flg,Sol.Rad, flg,  Speed, flg,Vec Mag, flg, Direc , flg,Wnd Dir, flg, Speed , flg,Wnd Spd, flg,Wnd Spd, flg,  Temp , flg,  Temp , flg,  Temp , flg,Humidty, flg,
2021/11/16,00:10,0,0,0,0,1.304,0,1.292,0,338.1,0,7.321,0,3.156,0,0.757,0,0,0,28.42,0,27.74,0,28.15,0,82.7,0,81.6,0,81.8,0,21.21,0,0,0,8.43,0,216.6,0,216.4,0,208.5,0,-101.2,0,268.5,0,-9999,M,28.29,0,27.15,0,27.81,0,28.77,0,27.63,0,28.35,0,0.9882,0,0.1602,0,0.5382,0,12.75,0,12.72,0,12.74,0,26.32,0,505,0
2021/11/16,00:20,0,0,0,0,2.52,0,2.493,0,345.4,0,8.34,0,4.779,0,0.627,0,1.228,0,28.72,0,27.68,0,28.29,0,83.4,0,80.6,0,81.9,0,21.2,0,0,0,8.43,0,216.6,0,216.3,0,208.5,0,-101.3,0,255.7,0,-9999,M,28.88,0,27.68,0,28.41,0,29.66,0,28.36,0,29.13,0,1.242,0,0.2556,0,0.7146,0,12.75,0,12.71,0,12.74,0,26.11,0,505,0
2021/11/16,00:30,0,0,0,0,1.235,0,1.22,0,344.5,0,8.6,0,3.332,0,0.81,0,0,0,28.6,0,27.38,0,28.01,0,82.3,0,80.1,0,81,0,21.2,0,0,0,8.43,0,216.6,0,216.4,0,208.4,0,-101.2,0,230.3,0,-9999,M,28.38,0,26.83,0,27.47,0,29.47,0,27.19,0,27.89,0,1.307,0,0,0,0.4194,0,12.75,0,12.71,0,12.74,0,25.97,0,505,0
2021/11/16,00:40,0,0,0,0,1.903,0,1.881,0,342.5,0,8.72,0,4.077,0,0.745,0,0.658,0,27.62,0,27.19,0,27.41,0,83.9,0,82.3,0,83.2,0,21.2,0,0,0,8.43,0,216.6,0,216.3,0,208.4,0,-101.2,0,237.4,0,-9999,M,27.76,0,26.83,0,27.27,0,29.24,0,27.38,0,28.15,0,1.849,0,0.1602,0,0.882,0,12.74,0,12.71,0,12.74,0,25.82,0,505,0
2021/11/16,00:50,0,0,0,0,2.196,0,2.176,0,340.5,0,7.667,0,4.603,0,0.905,0,0.789,0,27.68,0,26.95,0,27.26,0,84,0,83.1,0,83.5,0,21.2,0,0,0,8.43,0,216.6,0,216.4,0,208.4,0,-101.2,0,226,0,-9999,M,27.28,0,26.63,0,27,0,28.84,0,27.06,0,27.73,0,1.786,0,0.0954,0,0.738,0,12.74,0,12.71,0,12.73,0,25.65,0,505,0
2021/11/16,01:00,0,0,0,0,0.966,0,0.958,0,341.9,0,6.046,0,2.937,0,0.932,0,0,0,27.38,0,26.95,0,27.1,0,84.2,0,83.7,0,83.9,0,21.19,0,0,0,8.43,0,216.6,0,216.3,0,208.5,0,-101.2,0,244.3,0,-9999,M,27.52,0,26.61,0,26.98,0,28.64,0,27.02,0,27.82,0,1.723,0,0.1278,0,0.8316,0,12.74,0,12.71,0,12.73,0,25.49,0,505,0
2021/11/16,01:10,0,0,0,0,0.597,0,0.59,0,341.3,0,6.654,0,1.885,0,0.682,0,0,0,27.87,0,27.13,0,27.55,0,84,0,82.5,0,83.3,0,21.19,0,0,0,8.43,0,216.6,0,216.3,0,208.5,0,-101.2,0,212.8,0,-9999,M,28.21,0,27.06,0,27.54,0,29.64,0,28.2,0,28.74,0,1.723,0,0.6696,0,1.202,0,12.74,0,12.7,0,12.73,0,25.35,0,505,0
2021/11/16,01:20,0,0,0,0,0.759,0,0.746,0,348.7,0,8.92,0,1.929,0,0.595,0,0,0,28.54,0,27.62,0,28.06,0,82.7,0,81.1,0,81.6,0,21.19,0,0,0,8.43,0,216.6,0,216.3,0,208.5,0,-101.3,0,215.1,0,-9999,M,29.02,0,27.62,0,28.14,0,30.68,0,28.32,0,29.2,0,2.419,0,0.2556,0,1.066,0,12.73,0,12.7,0,12.73,0,25.29,0,505,0
